entidad_ejecutora,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
MUNICIPALIDAD DE SAN JOSE LA ARADA,74,53559715.87,17061909.0,36497806.87,592.1307824694078,8.001767330667672,33,25,14,2,0.3185586167300182,2,362790.0,388.0684991761644
MUNICIPALIDAD DE SAN JOSE LA MAQUINA,10,16267001.2,6683922.91,9583078.29,71.88042661871535,7.188042661871535,2,5,3,0,0.41088845004818714,0,0.0,44.99715690681017
MUNICIPALIDAD DE SAN JOSE OJETENAM,93,44838916.05,13063785.81,31775130.24,393.9799549353265,4.236343601455124,59,7,17,10,0.2913492778334012,10,4098750.0,624.2712202129019
MUNICIPALIDAD DE SAN JOSE PINULA,42,82824945.7,24026138.66,58798807.04,194.47985871750723,4.630472826607315,31,4,7,0,0.29008336144312136,0,0.0,326.17293500325565
MUNICIPALIDAD DE SAN JOSE POAQUIL,58,49742906.62,18404497.66,31338408.96,367.95725468662675,6.344090598045289,19,21,18,0,0.36999240516034004,0,0.0,299.2282450098434
"MUNICIPALIDAD DE SAN JOSE, ESCUINTLA",47,115682733.25,36235536.73,79447196.52,355.00131411074244,7.553219449164732,13,13,21,0,0.3132320244516698,0,0.0,326.4200399708377
"MUNICIPALIDAD DE SAN JOSE, PETEN",58,41468240.4,17808767.73,23659472.67,173.83009313086126,2.997070571221746,33,9,11,5,0.4294555919956517,5,2883798.4,296.2249320929406
MUNICIPALIDAD DE SAN JUAN ATITAN,70,28043120.0,9500644.3,18542475.7,159.07750478759152,2.272535782679879,62,3,5,0,0.3387869930307327,0,0.0,478.5188715007899
MUNICIPALIDAD DE SAN JUAN BAUTISTA,45,12017202.28,2896860.64,9120341.64,125.74534497869571,2.7943409995265713,37,1,7,0,0.24105948893122903,0,0.0,356.3174652280885
MUNICIPALIDAD DE SAN JUAN CHAMELCO,42,89977839.25,36877291.96,53100547.29,242.7454366845805,5.779653254394774,14,6,22,0,0.40984860569431825,0,0.0,291.8339940215617
MUNICIPALIDAD DE SAN JUAN COTZAL,50,49410093.28,13550665.67,35859427.61,280.07500607109444,5.601500121421889,29,14,7,0,0.27424893924426125,0,0.0,308.5719091847123
MUNICIPALIDAD DE SAN JUAN ERMITA,56,37137436.2,11340890.66,25796545.54,398.72041241194495,7.120007364499017,25,22,9,0,0.3053762408079209,0,0.0,280.8913706601754
MUNICIPALIDAD DE SAN JUAN IXCOY,49,15604601.4,4025183.6,11579417.799999999,107.5781375968969,2.1954721958550385,44,0,3,2,0.25794850485575366,2,2015056.0,366.26153828472275
MUNICIPALIDAD DE SAN JUAN LA LAGUNA,90,24519650.65,8639595.2,15880055.45,204.59059015863565,2.2732287795403963,66,5,19,0,0.35235392719594066,0,0.0,614.8986190469938
MUNICIPALIDAD DE SAN JUAN SACATEPEQUEZ,75,231040213.5,130363420.61,100676792.89,401.97861552209815,5.359714873627976,11,34,30,0,0.5642455858014518,0,0.0,265.18097810688664
MUNICIPALIDAD DE SAN JUAN TECUACO,60,24014083.53,13470172.73,10543910.8,93.31861390076293,1.555310231679382,40,9,10,1,0.5609280367985794,1,179000.0,246.2346240402655
"MUNICIPALIDAD DE SAN LORENZO, SAN MARCOS",40,19774897.2,3480501.4,16294395.8,100.06063392568609,2.5015158481421524,35,3,2,0,0.17600604265088166,0,0.0,326.69564481028647
"MUNICIPALIDAD DE SAN LORENZO, SUCHITEPEQUEZ",32,37355009.09,18982023.65,18372985.44,186.3415699923716,5.823174062261613,8,18,6,0,0.5081520286681316,0,0.0,90.9040122313371
MUNICIPALIDAD DE SAN LUCAS SACATEPEQUEZ,61,74432514.26,32510490.65,41922023.61,371.75378796975036,6.094324392946727,32,26,3,0,0.43677807975742555,0,0.0,230.71491435951165
MUNICIPALIDAD DE SAN LUCAS TOLIMAN,60,19097150.55,6744600.95,12352549.6,118.70791818923223,1.9784653031538706,49,6,5,0,0.353173157028916,0,0.0,373.03649651449115
MUNICIPALIDAD DE SAN LUIS,61,73467723.07,40072075.589999996,33395647.48,391.67852710127545,6.420959460676647,17,29,10,5,0.5454378319553929,5,3796693.6,158.07728923923065
MUNICIPALIDAD DE SAN LUIS JILOTEPEQUE,54,66471767.4,32229341.05,34242426.35,251.55544984468628,4.658434256383079,10,33,6,5,0.4848575915855669,5,802440.0,109.49094164367034
MUNICIPALIDAD DE SAN MANUEL CHAPARRON,48,45076143.88,12530156.86,32545987.02,428.9853010929334,8.937193772769445,22,7,19,0,0.27797756820896896,0,0.0,374.1098533867535
MUNICIPALIDAD DE SAN MARCOS,224,109835068.43,41916843.59,67918224.84,1135.690685872556,5.070047704788196,112,51,37,24,0.3816344286862662,24,4280127.9,1119.6851536233357
MUNICIPALIDAD DE SAN MARCOS LA LAGUNA,50,13650589.4,1309957.87,12340631.530000001,71.57809461568127,1.4315618923136253,47,3,0,0,0.09596346587056527,0,0.0,433.69829692441704
MUNICIPALIDAD DE SAN MARTIN JILOTEPEQUE,82,56040934.11,21896549.169999998,34144384.94,320.6101745941713,3.909880177977699,40,10,21,11,0.39072420040358957,11,6865737.03,454.38484428820027
MUNICIPALIDAD DE SAN MARTIN SACATEPEQUEZ,75,34648557.44,3560024.79,31088532.65,378.46162909627793,5.0461550546170395,58,3,14,0,0.10274669576546736,0,0.0,732.1192475499945
MUNICIPALIDAD DE SAN MARTIN ZAPOTITLAN,61,31208410.6,21293124.0,9915286.6,102.75752967338191,1.6845496667767526,36,12,12,1,0.6822879983513161,1,89650.0,176.53654111963667
MUNICIPALIDAD DE SAN MATEO,42,5726337.19,1070553.29,4655783.9,53.207780342896164,1.266851912926099,38,3,1,0,0.18695254129804395,0,0.0,311.2267911212167
