snip,costo_total_n_distinct,costo_total_stable_flag,costo_total_first,costo_total_last,monto_programado_anual_n_distinct,monto_programado_anual_stable_flag,monto_programado_anual_first,monto_programado_anual_last,montro_asignado_anual_n_distinct,montro_asignado_anual_stable_flag,montro_asignado_anual_first,montro_asignado_anual_last,monto_vigente_anual_n_distinct,monto_vigente_anual_stable_flag,monto_vigente_anual_first,monto_vigente_anual_last
331189,1,0,2430071.0,2430071.0,1,0,2430071.0,2430071.0,1,0,2430071.0,2430071.0,1,0,2430071.0,2430071.0
331193,1,0,3000000.0,3000000.0,1,0,3000000.0,3000000.0,1,0,3000000.0,3000000.0,1,0,3000000.0,3000000.0
331194,1,0,301000.0,301000.0,2,1,0.0,28380.0,1,0,0.0,0.0,2,1,0.0,28380.0
331195,1,0,380000.0,380000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0
331197,1,0,2400000.0,2400000.0,1,0,3678363.0,3678363.0,1,0,3678363.0,3678363.0,1,0,3678363.0,3678363.0
331198,1,0,380000.0,380000.0,1,0,356358.0,356358.0,1,0,356358.0,356358.0,1,0,356358.0,356358.0
331201,1,0,4216191.0,4216191.0,1,0,4216191.0,4216191.0,1,0,4216191.0,4216191.0,1,0,4216191.0,4216191.0
331208,1,0,600000.0,600000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0
331211,1,0,380000.0,380000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0
331212,1,0,380000.0,380000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0
331214,1,0,600000.0,600000.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,11160.0,11160.0
331215,1,0,380000.0,380000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0
331217,1,0,629078.0,629078.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0
331218,1,0,3363944.0,3363944.0,1,0,3363944.0,3363944.0,1,0,3363944.0,3363944.0,1,0,3363944.0,3363944.0
331219,1,0,1375893.0,1375893.0,1,0,1375893.0,1375893.0,1,0,0.0,0.0,1,0,0.0,0.0
331222,1,0,458856.0,458856.0,1,0,34965.89,34965.89,1,0,0.0,0.0,2,1,0.0,34965.89
331225,1,0,380000.0,380000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0
331226,1,0,380000.0,380000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0,1,0,360000.0,360000.0
331227,1,0,3219038.0,3219038.0,1,0,3219038.0,3219038.0,1,0,3219038.0,3219038.0,1,0,3219038.0,3219038.0
331232,1,0,4981547.0,4981547.0,1,0,4981547.0,4981547.0,1,0,4981547.0,4981547.0,2,1,4981547.0,0.0
331233,1,0,1102000.0,1102000.0,1,0,1100000.0,1100000.0,1,0,1100000.0,1100000.0,1,0,1100000.0,1100000.0
331234,1,0,2544318.0,2544318.0,1,0,0.0,0.0,1,0,1310095.0,1310095.0,1,0,1310095.0,1310095.0
331235,1,0,1500000.0,1500000.0,1,0,1490000.0,1490000.0,1,0,1490000.0,1490000.0,1,0,1490000.0,1490000.0
331236,1,0,5657981.0,5657981.0,1,0,5686634.0,5686634.0,1,0,5686634.0,5686634.0,1,0,5686634.0,5686634.0
331237,1,0,702000.0,702000.0,1,0,700000.0,700000.0,1,0,700000.0,700000.0,1,0,700000.0,700000.0
331238,1,0,2651500.0,2651500.0,1,0,2650000.0,2650000.0,1,0,2650000.0,2650000.0,1,0,2650000.0,2650000.0
331239,1,0,602000.0,602000.0,1,0,664200.0,664200.0,1,0,600000.0,600000.0,2,1,600000.0,664200.0
331240,1,0,4002000.0,4002000.0,1,0,4000000.0,4000000.0,1,0,4000000.0,4000000.0,1,0,4000000.0,4000000.0
331241,1,0,2251500.0,2251500.0,1,0,2250000.0,2250000.0,1,0,2250000.0,2250000.0,2,1,2250000.0,0.0
331242,1,0,856269.0,856269.0,2,1,854269.0,1058869.0,1,0,854269.0,854269.0,2,1,854269.0,1058869.0
331243,1,0,1128379.0,1128379.0,1,0,3083989.0,3083989.0,1,0,3083989.0,3083989.0,1,0,3083989.0,3083989.0
331244,1,0,1330599.0,1330599.0,1,0,1329099.0,1329099.0,1,0,1329099.0,1329099.0,1,0,1329099.0,1329099.0
331245,1,0,575847.0,575847.0,1,0,575847.0,575847.0,1,0,575847.0,575847.0,1,0,575847.0,575847.0
331246,1,0,602000.0,602000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0,1,0,600000.0,600000.0
331248,1,0,1100000.0,1100000.0,1,0,1100000.0,1100000.0,1,0,1100000.0,1100000.0,1,0,1100000.0,1100000.0
331251,1,0,517803.0,517803.0,1,0,517803.0,517803.0,1,0,517803.0,517803.0,1,0,517803.0,517803.0
331252,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0
331253,1,0,500000.0,500000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0
331254,1,0,1281811.0,1281811.0,1,0,1281811.0,1281811.0,1,0,1281811.0,1281811.0,1,0,1281811.0,1281811.0
331255,1,0,1050000.0,1050000.0,1,0,1050000.0,1050000.0,1,0,1050000.0,1050000.0,1,0,1050000.0,1050000.0
331256,1,0,1088243.0,1088243.0,1,0,1088243.0,1088243.0,1,0,1088243.0,1088243.0,1,0,1088243.0,1088243.0
331257,1,0,3601500.0,3601500.0,1,0,2538000.0,2538000.0,1,0,1800000.0,1800000.0,2,1,1800000.0,2538000.0
331258,1,0,3601500.0,3601500.0,1,0,1800000.0,1800000.0,1,0,1800000.0,1800000.0,1,0,1800000.0,1800000.0
331259,1,0,4001500.0,4001500.0,1,0,3200000.0,3200000.0,1,0,2000000.0,2000000.0,2,1,2000000.0,3200000.0
331261,1,0,2001500.0,2001500.0,1,0,799414.0,799414.0,1,0,0.0,0.0,2,1,0.0,400000.0
331262,1,0,3501500.0,3501500.0,1,0,2712500.0,2712500.0,1,0,1750000.0,1750000.0,2,1,1750000.0,2712500.0
331263,1,0,2001500.0,2001500.0,1,0,800000.0,800000.0,1,0,0.0,0.0,2,1,0.0,400000.0
331264,1,0,851500.0,851500.0,1,0,339168.0,339168.0,1,0,0.0,0.0,2,1,0.0,280500.0
331265,1,0,1604713.0,1604713.0,1,0,320342.0,320342.0,1,0,0.0,0.0,2,1,0.0,320642.6
331266,1,0,1601500.0,1601500.0,1,0,640000.0,640000.0,1,0,0.0,0.0,2,1,0.0,320000.0
331268,1,0,3501500.0,3501500.0,1,0,2100000.0,2100000.0,1,0,1750000.0,1750000.0,2,1,1750000.0,2100000.0
331269,1,0,1501500.0,1501500.0,1,0,450000.0,450000.0,1,0,0.0,0.0,2,1,0.0,450000.0
331270,1,0,4001500.0,4001500.0,1,0,1200000.0,1200000.0,1,0,0.0,0.0,2,1,0.0,1200000.0
331271,1,0,551500.0,551500.0,1,0,440000.0,440000.0,1,0,0.0,0.0,2,1,0.0,330000.0
331272,1,0,1870490.0,1870490.0,1,0,1870490.0,1870490.0,1,0,1870490.0,1870490.0,1,0,1870490.0,1870490.0
331273,1,0,891500.0,891500.0,2,1,710798.4,534000.0,1,0,0.0,0.0,2,1,0.0,534000.0
331274,1,0,891500.0,891500.0,1,0,667500.0,667500.0,1,0,0.0,0.0,2,1,0.0,534000.0
331275,1,0,451500.0,451500.0,1,0,358800.0,358800.0,1,0,0.0,0.0,2,1,0.0,270000.0
331276,1,0,2911000.0,2911000.0,1,0,2909500.0,2909500.0,1,0,2909500.0,2909500.0,1,0,2909500.0,2909500.0
331277,1,0,3016726.0,3016726.0,1,0,5088903.0,5088903.0,1,0,5088903.0,5088903.0,1,0,5088903.0,5088903.0
331278,1,0,1901000.0,1901000.0,1,0,1500000.0,1500000.0,1,0,1500000.0,1500000.0,1,0,1500000.0,1500000.0
331279,1,0,504000.0,504000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0
331281,1,0,504000.0,504000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0,1,0,500000.0,500000.0
331282,1,0,430538.0,430538.0,1,0,430538.0,430538.0,1,0,430538.0,430538.0,1,0,430538.0,430538.0
331283,1,0,404000.0,404000.0,1,0,400000.0,400000.0,1,0,400000.0,400000.0,1,0,400000.0,400000.0
331284,1,0,2505394.0,2505394.0,1,0,2503394.0,2503394.0,1,0,2503394.0,2503394.0,1,0,2503394.0,2503394.0
331287,1,0,1271575.0,1271575.0,1,0,1269575.0,1269575.0,1,0,1269575.0,1269575.0,1,0,1269575.0,1269575.0
331288,1,0,2375341.0,2375341.0,1,0,2375341.0,2375341.0,1,0,2375341.0,2375341.0,1,0,2375341.0,2375341.0
331289,1,0,1127659.0,1127659.0,1,0,1127659.0,1127659.0,1,0,1127659.0,1127659.0,1,0,1127659.0,1127659.0
331290,1,0,1150000.0,1150000.0,1,0,1150000.0,1150000.0,1,0,1150000.0,1150000.0,1,0,1150000.0,1150000.0
331291,1,0,3313185.0,3313185.0,1,0,3313185.0,3313185.0,1,0,3313185.0,3313185.0,1,0,3313185.0,3313185.0
331292,1,0,1950000.0,1950000.0,1,0,1950000.0,1950000.0,1,0,1950000.0,1950000.0,1,0,1950000.0,1950000.0
331293,1,0,1978529.0,1978529.0,1,0,1978529.0,1978529.0,1,0,1978529.0,1978529.0,1,0,1978529.0,1978529.0
331294,1,0,1400000.0,1400000.0,1,0,1400000.0,1400000.0,1,0,1400000.0,1400000.0,1,0,1400000.0,1400000.0
331295,1,0,2302829.0,2302829.0,1,0,2300829.0,2300829.0,1,0,2300829.0,2300829.0,1,0,2300829.0,2300829.0
331298,1,0,2500000.0,2500000.0,1,0,2000000.0,2000000.0,1,0,0.0,0.0,2,1,0.0,2500000.0
331305,1,0,1027340.0,1027340.0,1,0,1475832.0,1475832.0,1,0,1475832.0,1475832.0,1,0,1475832.0,1475832.0
331310,1,0,899300.0,899300.0,1,0,898000.0,898000.0,1,0,898000.0,898000.0,2,1,898000.0,0.0
331311,1,0,2400000.0,2400000.0,1,0,2390000.0,2390000.0,1,0,2390000.0,2390000.0,1,0,2390000.0,2390000.0
331327,1,0,750000.0,750000.0,1,0,750000.0,750000.0,1,0,750000.0,750000.0,1,0,750000.0,750000.0
331328,1,0,1650000.0,1650000.0,1,0,884400.0,884400.0,1,0,0.0,0.0,2,1,0.0,884400.0
331330,1,0,188653.0,188653.0,1,0,0.0,0.0,2,1,0.0,639872.0,2,1,0.0,639872.0
331331,1,0,719961.0,719961.0,1,0,575968.8,575968.8,1,0,0.0,0.0,1,0,0.0,0.0
331332,1,0,710000.0,710000.0,1,0,461358.0,461358.0,1,0,0.0,0.0,2,1,0.0,461358.0
331334,1,0,1834728.0,1834728.0,1,0,58711.3,58711.3,1,0,0.0,0.0,2,1,0.0,58711.3
331335,1,0,2440369.27,2440369.27,1,0,1549030.35,1549030.35,1,0,0.0,0.0,2,1,0.0,1549030.35
331336,1,0,1834728.0,1834728.0,1,0,451893.51,451893.51,1,0,0.0,0.0,2,1,0.0,451893.51
331338,1,0,7990000.0,7990000.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
331339,1,0,400000.0,400000.0,1,0,400000.0,400000.0,1,0,400000.0,400000.0,1,0,400000.0,400000.0
331341,1,0,3067468.0,3067468.0,1,0,858891.04,858891.04,1,0,0.0,0.0,2,1,0.0,858891.04
331343,1,0,895000.0,895000.0,1,0,895000.0,895000.0,1,0,895000.0,895000.0,1,0,895000.0,895000.0
331344,1,0,89845.0,89845.0,1,0,0.0,0.0,1,0,89845.0,89845.0,1,0,89845.0,89845.0
331345,1,0,3149435.0,3149435.0,1,0,2864877.0,2864877.0,1,0,0.0,0.0,2,1,0.0,2519548.0
331348,1,0,24500.0,24500.0,1,0,0.0,0.0,1,0,394075.0,394075.0,1,0,394075.0,394075.0
331351,1,0,5000000.0,5000000.0,1,0,4000000.0,4000000.0,1,0,0.0,0.0,2,1,0.0,4000000.0
331353,1,0,1200000.0,1200000.0,1,0,1195959.0,1195959.0,1,0,1195959.0,1195959.0,1,0,1195959.0,1195959.0
331355,1,0,942065.0,942065.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
331357,1,0,800000.0,800000.0,1,0,800000.0,800000.0,1,0,800000.0,800000.0,1,0,800000.0,800000.0
331363,1,0,800000.0,800000.0,1,0,800000.0,800000.0,1,0,800000.0,800000.0,1,0,800000.0,800000.0
331367,1,0,859100.0,859100.0,1,0,0.0,0.0,2,1,0.0,857538.0,2,1,0.0,857538.0
331368,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0
331370,1,0,900000.0,900000.0,1,0,900000.0,900000.0,1,0,0.0,0.0,1,0,0.0,0.0
331371,1,0,3551349.0,3551349.0,1,0,2841079.2,2841079.2,1,0,1650745.0,1650745.0,2,1,1650745.0,2841079.2
331372,1,0,3551349.0,3551349.0,1,0,2141108.31,2141108.31,1,0,1790794.0,1790794.0,2,1,1790794.0,2141108.31
331373,1,0,3372204.0,3372204.0,0,0,,,1,0,874205.12,874205.12,1,0,874205.12,874205.12
331374,1,0,3372190.0,3372190.0,1,0,3370690.0,3370690.0,1,0,3370690.0,3370690.0,1,0,3370690.0,3370690.0
